"DATA_Y","variable","category","n","share"
2002,"CITY","基隆市",52,0.00396553038968962
2002,"CITY","宜蘭縣",517,0.039426523297491
2002,"CITY","屏東縣",1513,0.115381682300008
2002,"CITY","彰化縣",52,0.00396553038968962
2002,"CITY","新竹市",53,0.00404179058949134
2002,"CITY","新竹縣",568,0.0433157934873789
2002,"CITY","桃園縣",850,0.064821169831465
2002,"CITY","臺中市",252,0.0192175703500343
2002,"CITY","臺中縣",828,0.063143445435827
2002,"CITY","臺北市",419,0.0319530237169221
2002,"CITY","臺北縣",992,0.0756501182033097
2002,"CITY","臺南市",53,0.00404179058949134
2002,"CITY","臺南縣",59,0.00449935178830169
2002,"CITY","臺東縣",2287,0.174407076946542
2002,"CITY","花蓮縣",2507,0.191184320902921
2002,"CITY","苗栗縣",337,0.0256996873331808
2002,"CITY","連江縣",9,0.000686341798215511
2002,"CITY","金門縣",27,0.00205902539464653
2002,"CITY","高雄市",302,0.0230305803401205
2002,"CITY","高雄縣",534,0.0407229466941203
2002,"COUNTY","三地門",181,0.0149020253581426
2002,"COUNTY","三峽鎮",52,0.00428124485427301
2002,"COUNTY","三民鄉",67,0.00551621933146715
2002,"COUNTY","三重市",52,0.00428124485427301
2002,"COUNTY","中和市",55,0.00452823974971184
2002,"COUNTY","中壢市",55,0.00452823974971184
2002,"COUNTY","五峰鄉",138,0.0113617651901861
2002,"COUNTY","五結冬山鄉",53,0.00436357648608595
2002,"COUNTY","五股鄉",50,0.00411658159064713
2002,"COUNTY","仁愛鄉",337,0.0277457599209616
2002,"COUNTY","來義鄉",190,0.0156430100444591
2002,"COUNTY","信義鄉",231,0.0190186069487897
2002,"COUNTY","光復鄉",213,0.0175366375761568
2002,"COUNTY","內埔鄉",52,0.00428124485427301
2002,"COUNTY","八德市",52,0.00428124485427301
2002,"COUNTY","八里鄉三芝鄉",52,0.00428124485427301
2002,"COUNTY","六龜鄉美濃鎮",57,0.00469290301333772
2002,"COUNTY","北區",46,0.00378725506339536
2002,"COUNTY","北屯區",46,0.00378725506339536
2002,"COUNTY","卑南鄉",185,0.0152313518853944
2002,"COUNTY","卓溪鄉",140,0.011526428453812
2002,"COUNTY","南區東區",53,0.00436357648608595
2002,"COUNTY","南屯區",55,0.00452823974971184
2002,"COUNTY","南庄鄉",63,0.00518689280421538
2002,"COUNTY","南投市",52,0.00428124485427301
2002,"COUNTY","南澳鄉",138,0.0113617651901861
2002,"COUNTY","吉安鄉",380,0.0312860200889182
2002,"COUNTY","后里鄉外埔鄉",52,0.00428124485427301
2002,"COUNTY","和平鄉",146,0.0120204182446896
2002,"COUNTY","土城市",53,0.00436357648608595
2002,"COUNTY","埔里鎮",55,0.00452823974971184
2002,"COUNTY","壽豐鄉",179,0.0147373620945167
2002,"COUNTY","大同鄉",126,0.0103737856084308
2002,"COUNTY","大園鄉",53,0.00436357648608595
2002,"COUNTY","大寮鄉",56,0.00461057138152478
2002,"COUNTY","大樹鄉仁武鄉",53,0.00436357648608595
2002,"COUNTY","大武鄉",115,0.00946813765848839
2002,"COUNTY","大溪鎮",57,0.00469290301333772
2002,"COUNTY","大肚鄉",62,0.00510456117240244
2002,"COUNTY","大里市",67,0.00551621933146715
