"DATA_Y","CITY","COUNTY","variable","non_missing_n","mean","median","sd","min","max"
2002,"宜蘭縣","南澳鄉","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","南澳鄉","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","南澳鄉","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","南澳鄉","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","南澳鄉","N_INDI_UNDER6",0,,,,,
2002,"宜蘭縣","大同鄉","N_FAMILY",126,4.73015873015873,5,2.38801238996015,1,13
2002,"宜蘭縣","大同鄉","N_INDI",126,4.45238095238095,4,2.34812995503109,0,13
2002,"宜蘭縣","大同鄉","N_INDI_16_54",0,,,,,
2002,"宜蘭縣","大同鄉","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","大同鄉","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","大同鄉","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","大同鄉","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","大同鄉","N_INDI_UNDER6",0,,,,,
2002,"宜蘭縣","宜蘭市","N_FAMILY",53,4.56603773584906,5,1.81351161649547,1,8
2002,"宜蘭縣","宜蘭市","N_INDI",53,3.75471698113208,4,1.68597906248244,1,8
2002,"宜蘭縣","宜蘭市","N_INDI_16_54",0,,,,,
2002,"宜蘭縣","宜蘭市","N_INDI_55PLUS",0,,,,,
2002,"宜蘭縣","宜蘭市","N_INDI_55_64",0,,,,,
2002,"宜蘭縣","宜蘭市","N_INDI_65PLUS",0,,,,,
2002,"宜蘭縣","宜蘭市","N_INDI_7_15",0,,,,,
2002,"宜蘭縣","宜蘭市","N_INDI_UNDER6",0,,,,,
2002,"宜蘭縣","羅東鎮","N_FAMILY",51,4.66666666666667,5,1.39522996909709,2,10
2002,"宜蘭縣","羅東鎮","N_INDI",51,3.98039215686275,4,1.60611576268252,1,9
2002,"宜蘭縣","羅東鎮","N_INDI_16_54",0,,,,,
