data_year,survey_tag,raw_value,mapped_value,frequency
2002,91,女,非男性,5212
2002,91,男,男性,7901
2006,95,女,非男性,3545
2006,95,男,男性,2468
2010,99,女性,非男性,2884
2010,99,男性,男性,2143
2014,103,女性,非男性,1854
2014,103,男性,男性,3360
2017,106,女性,非男性,1839
2017,106,男性,男性,3463
2021,110,女性,非男性,2166
2021,110,男性,男性,3243
