variable,91_1,91_2,95,99,103,106,110,years_present,count
l2_3_7,N,N,N,Y,Y,N,N,"99,103",2
l2_3_9,N,N,N,Y,Y,N,N,"99,103",2
j7_2_2,N,N,N,Y,Y,N,N,"99,103",2
l3_1,N,N,N,Y,N,N,Y,"99,110",2
j1o,N,N,N,N,Y,N,Y,"103,110",2
n3,N,N,N,N,Y,Y,N,"103,106",2
m4,N,N,N,Y,N,Y,N,"99,106",2
g9,N,N,N,N,N,Y,Y,"106,110",2
g6_1,N,N,N,N,Y,Y,N,"103,106",2
g5o,N,N,N,N,Y,N,Y,"103,110",2
n4,N,N,N,N,Y,Y,N,"103,106",2
m1,N,N,N,Y,N,Y,N,"99,106",2
q12,Y,Y,N,N,N,N,N,"91_1,91_2",2
h3o,N,N,N,N,Y,N,Y,"103,110",2
h4o,N,N,N,N,Y,N,Y,"103,110",2
h5o,N,N,N,N,Y,N,Y,"103,110",2
l4,N,N,N,Y,N,Y,N,"99,106",2
i5,N,N,N,Y,Y,N,N,"99,103",2
f2_1,N,N,N,Y,Y,N,N,"99,103",2
l3_2,N,N,N,Y,N,N,Y,"99,110",2
i7,N,N,N,Y,Y,N,N,"99,103",2
f4_1,N,N,N,Y,N,Y,N,"99,106",2
h6o,N,N,N,N,Y,N,Y,"103,110",2
f3o,N,N,N,N,Y,N,Y,"103,110",2
f3_4,N,N,N,N,Y,N,Y,"103,110",2
f3_3,N,N,N,N,Y,N,Y,"103,110",2
f3_2,N,N,N,N,Y,N,Y,"103,110",2
q13,Y,Y,N,N,N,N,N,"91_1,91_2",2
f3,N,N,N,Y,N,Y,N,"99,106",2
f2o,N,N,N,N,Y,N,Y,"103,110",2
q19,Y,Y,N,N,N,N,N,"91_1,91_2",2
m3,N,N,N,Y,N,Y,N,"99,106",2
q20,Y,Y,N,N,N,N,N,"91_1,91_2",2
j7_7_1,N,N,N,Y,Y,N,N,"99,103",2
j7_8_2,N,N,N,Y,Y,N,N,"99,103",2
c2,N,N,Y,N,N,N,Y,"95,110",2
j7_8_1,N,N,N,Y,Y,N,N,"99,103",2
c3,N,N,Y,N,N,N,Y,"95,110",2
c4,N,N,Y,N,N,N,Y,"95,110",2
c5,N,N,Y,N,N,N,Y,"95,110",2
i2_1,N,N,N,N,Y,N,Y,"103,110",2
j7_7_2,N,N,N,Y,Y,N,N,"99,103",2
c6,N,N,Y,N,N,N,Y,"95,110",2
l2_3_2,N,N,N,Y,Y,N,N,"99,103",2
q7f,Y,Y,N,N,N,N,N,"91_1,91_2",2
q7e,Y,Y,N,N,N,N,N,"91_1,91_2",2
q20a,Y,Y,N,N,N,N,N,"91_1,91_2",2
q7c,Y,Y,N,N,N,N,N,"91_1,91_2",2
q7b,Y,Y,N,N,N,N,N,"91_1,91_2",2
q7a,Y,Y,N,N,N,N,N,"91_1,91_2",2
j7_6_2,N,N,N,Y,Y,N,N,"99,103",2
q6a,Y,Y,N,N,N,N,N,"91_1,91_2",2
l2_3_10,N,N,N,Y,Y,N,N,"99,103",2
c1,N,N,Y,N,N,N,Y,"95,110",2
l2_3_1,N,N,N,Y,Y,N,N,"99,103",2
