domain,concept_id,concept_label,harmonized_year,source_dataset,source_question_ids,source_question_texts,base_question_ids_103,base_question_texts_103,source_option_code,source_option_text,source_min_value,source_max_value,base_option_code_103,base_option_text_103,base_min_value_103,base_max_value_103,comparison_level,mapping_relation,total_construction_rule,note
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,3,"5,000元至未滿1萬元",5000,9999,4,"7,000-9,999 元",7000,9999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,4,1萬元至未滿2萬元,10000,19999,5,"10,000-11,999 元",10000,11999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,4,1萬元至未滿2萬元,10000,19999,6,"12,000-14,999 元",12000,14999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,4,1萬元至未滿2萬元,10000,19999,7,"15,000-19,999 元",15000,19999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,5,2萬元至未滿3萬元,20000,29999,8,"20,000-29,999 元",20000,29999,option,exact_range,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,6,3萬元至未滿4萬元,30000,39999,9,"30,000-39,999 元",30000,39999,option,exact_range,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,7,4萬元至未滿5萬元,40000,49999,10,"40,000-49,999 元",40000,49999,option,exact_range,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,8,5萬元以上（請記錄金額）,50000,,11,"50,000-59,999 元",50000,59999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,8,5萬元以上（請記錄金額）,50000,,12,"60,000-69,999 元",60000,69999,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
expenditure,EXP_FOOD,食品飲食支出,91,91_1,23-1,請問每個月家庭平均支出中，食品消費是多少?(日常生活吃的部分，但不包含酒、菸、檳,J1,請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少？【過去ㄧ年,8,5萬元以上（請記錄金額）,50000,,13,"70,000 元及以上，請記錄______________元",70000,,option,source_bin_spans_multiple_base_bins,source_question,91 食品消費；95 之後為買菜/飲料/零食等。
