data_year,survey_tag,integrated_var,expected_raw_var,resolved_dataset_var,status
2002,91,EXP_ALCOHOL,23-2,q23b,ok
2002,91,EXP_BOOKS,23-5,q23e,ok
2002,91,EXP_EDU_TUITION,23-5,q23e,ok
2002,91,EXP_FOOD,23-1,q23a,ok
2002,91,EXP_MEDICAL,23-3,q23c,ok
2002,91,EXP_TOTAL_SYN,23,q23,ok
2002,91,EXP_TRANSPORT_COMM,23-4,q23d,ok
2002,91,EXP_TRAVEL,23-6,q23f,ok
2002,NA,EXP_BOOKS,NA,NA,missing_in_metadata
2002,NA,EXP_CARE,NA,NA,missing_in_metadata
2002,NA,EXP_CLEANING,NA,NA,missing_in_metadata
2002,NA,EXP_CLOTHING,NA,NA,missing_in_metadata
2002,NA,EXP_DINING_LODGING,NA,NA,missing_in_metadata
2002,NA,EXP_EDU_TUITION,NA,NA,missing_in_metadata
2002,NA,EXP_FURNITURE,NA,NA,missing_in_metadata
2002,NA,EXP_HOUSING_UTIL,NA,NA,missing_in_metadata
2002,NA,EXP_LOAN_INTEREST,NA,NA,missing_in_metadata
2002,NA,EXP_OTHER,NA,NA,missing_in_metadata
2002,NA,EXP_TAX_INS_GIFT,NA,NA,missing_in_metadata
2002,NA,EXP_TRAVEL,NA,NA,missing_in_metadata
2006,95,EXP_ALCOHOL,Q12-5,q125,ok
2006,95,EXP_BOOKS,Q12-8,q128,ok
2006,95,EXP_CARE,Q12-13,q1213,ok
2006,95,EXP_CLEANING,Q12-7,q127,ok
2006,95,EXP_CLOTHING,Q12-11,q1211,ok
2006,95,EXP_EDU_TUITION,Q12-8,q128,ok
2006,95,EXP_FOOD,Q12-1,q121,ok
2006,95,EXP_FURNITURE,Q12-12,q1212,ok
2006,95,EXP_HOUSING_UTIL,Q12-2,q122,ok
2006,95,EXP_LOAN_INTEREST,Q12-10,q1210,ok
2006,95,EXP_MEDICAL,Q12-4,q124,ok
2006,95,EXP_OTHER,Q12-14,q1214,ok
2006,95,EXP_TAX_INS_GIFT,Q12-6,q126,ok
2006,95,EXP_TOTAL_SYN,Q12-1;Q12-2;Q12-3;Q12-4;Q12-5;Q12-6;Q12-7;Q12-8;Q12-9;Q12-10;Q12-11;Q12-12;Q12-13;Q12-14,NA,missing_in_metadata
2006,95,EXP_TRANSPORT_COMM,Q12-3,q123,ok
2006,95,EXP_TRAVEL,Q12-9,q129,ok
2006,NA,EXP_DINING_LODGING,NA,NA,missing_in_metadata
2010,99,EXP_ALCOHOL,J5,j5,ok
2010,99,EXP_BOOKS,J7-2,j7_2_2,ok
