sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2010,EXP_CLEANING_EXPENDITURE,5020,7,0.0013924806047344342,169.66394422310756,0,1593.5429053365388,0,34999.5
full_sample,2010,EXP_CLOTHING_EXPENDITURE,5022,5,9.946290033817386e-4,1265.6950418160095,499.5,2427.68255767056,0,34999.5
full_sample,2010,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,5024,3,5.967774020290431e-4,1818.6526671974523,0,4416.52271606677,0,34999.5
full_sample,2010,EXP_FOOD_EXPENDITURE,5023,4,7.957032027053909e-4,9268.56231335855,7499.5,8063.20378839782,1499.5,74999.5
full_sample,2010,EXP_FURNITURE_EXPENDITURE,5019,8,0.0015914064054107818,657.14674237896,0,2375.2781796841537,0,34999.5
full_sample,2010,EXP_HOUSING_UTIL_EXPENDITURE,5025,2,3.9785160135269546e-4,4598.216517412935,2499.5,6469.629519540457,0,74999.5
full_sample,2010,EXP_LOAN_INTEREST_EXPENDITURE,5019,8,0.0015914064054107818,1456.1064953177925,0,5123.0460768166995,0,34999.5
full_sample,2010,EXP_MEDICAL_EXPENDITURE,5019,8,0.0015914064054107818,2744.216577007372,1499.5,4564.345959508227,0,34999.5
full_sample,2010,EXP_OTHER_EXPENDITURE,5020,7,0.0013924806047344342,437.49870517928287,0,2327.371197878842,0,34999.5
full_sample,2010,EXP_TAX_INS_GIFT_EXPENDITURE,5019,8,0.0015914064054107818,3045.8565451285117,2499.5,3663.9280823685026,0,34999.5
full_sample,2010,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4962,65,0.012930177043962602,31782.911527609835,24995.5,26711.119383116184,1499.5,399495
full_sample,2010,EXP_TOTAL_DERIVED_EXPENDITURE,5027,0,0,31890.309926397455,24995.5,27052.490589943987,0,399495
full_sample,2010,EXP_TRANSPORT_COMM_EXPENDITURE,5025,2,3.9785160135269546e-4,3695.93223880597,2499.5,3815.174176293563,0,34999.5
full_sample,2010,EXP_TRAVEL_EXPENDITURE,5024,3,5.967774020290431e-4,567.1958598726114,0,2603.898110746175,0,34999.5
full_sample,2010,INC_FAM_GOV_INCOME,5027,0,0,1788.9821961408395,0,3610.7019035504077,0,34999.5
full_sample,2010,INC_FAM_INTEREST_INCOME,5017,10,0.001989258006763477,213.06119194737892,0,1803.7255417018118,0,34999.5
full_sample,2010,INC_FAM_RENT_INCOME,5016,11,0.002188183807439825,84.72428229665071,0,1138.5626260667682,0,27499.5
full_sample,2010,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5012,15,0.002983887010145216,35771.53272146847,28499,27927.560776816023,0,200998.5
full_sample,2010,INC_FAM_TOTAL_DERIVED_INCOME,5027,0,0,35766.841655062664,28499,27913.5474063081,0,200998.5
full_sample,2010,INC_FAM_WORK_INCOME,5027,0,0,33680.68321066242,24999.5,27957.15801452567,0,174999.5
full_sample,2010,INC_PERS_GOV_INCOME,5024,3,5.967774020290431e-4,1363.8235469745223,0,3093.222254760413,0,34999.5
full_sample,2010,INC_PERS_INTEREST_INCOME,5018,9,0.0017903322060871295,206.74212833798327,0,1897.5783500664827,0,34999.5
full_sample,2010,INC_PERS_OTHER_INCOME,5014,13,0.0025860354087925202,464.6788990825688,0,3789.875819063641,0,84999.5
full_sample,2010,INC_PERS_RENT_INCOME,5013,14,0.0027849612094688683,57.346997805705165,0,796.1620285392996,0,22499.5
full_sample,2010,INC_PERS_WORK_INCOME,5027,0,0,20315.913069425103,14999.5,18348.672175125725,0,174999.5
full_sample,2014,EXP_ALCOHOL_EXPENDITURE,5214,0,0,1748.6613924050632,749.5,2539.817689599192,0,34999.5
full_sample,2014,EXP_BOOKS_EXPENDITURE,5214,0,0,446.6891062523974,0,1046.4756400462884,0,24999.5
full_sample,2014,EXP_CARE_EXPENDITURE,5214,0,0,731.9889719984657,0,2898.582475285167,0,34999.5
full_sample,2014,EXP_CLEANING_EXPENDITURE,5214,0,0,187.81770233985424,0,1398.7569642632773,0,24999.5
full_sample,2014,EXP_CLOTHING_EXPENDITURE,5214,0,0,1628.4626965861144,1499.5,2409.001825611161,0,34999.5
full_sample,2014,EXP_DINING_LODGING_EXPENDITURE,5214,0,0,2822.689585730725,1499.5,4645.619829144362,0,34999.5
full_sample,2014,EXP_EDU_TUITION_EXPENDITURE,5214,0,0,2089.7429037207517,0,4248.97575330343,0,34999.5
full_sample,2014,EXP_FOOD_EXPENDITURE,5214,0,0,9397.371595703875,8499.5,6826.1666264221185,0,74999.5
full_sample,2014,EXP_FURNITURE_EXPENDITURE,5214,0,0,907.6483505945531,0,2643.0705853105005,0,34999.5
full_sample,2014,EXP_HOUSING_UTIL_EXPENDITURE,5214,0,0,4903.080456463368,2749.5,6023.531201459058,0,74999.5
full_sample,2014,EXP_LOAN_INTEREST_EXPENDITURE,5214,0,0,2689.462121212121,0,6361.32732602961,0,34999.5
full_sample,2014,EXP_MEDICAL_EXPENDITURE,5214,0,0,1927.680667433832,749.5,3318.551917600846,0,34999.5
full_sample,2014,EXP_OTHER_EXPENDITURE,5214,0,0,1802.9014192558495,1499.5,2409.795371730543,0,34999.5
full_sample,2014,EXP_TAX_INS_GIFT_EXPENDITURE,5214,0,0,3441.3697736862296,2249.5,4328.184675815929,0,34999.5
full_sample,2014,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5214,0,0,40401.483601841195,34995.5,26738.82064935668,749.5,357993.5
full_sample,2014,EXP_TOTAL_DERIVED_EXPENDITURE,5214,0,0,40401.483601841195,34995.5,26738.82064935668,749.5,357993.5
full_sample,2014,EXP_TRANSPORT_COMM_EXPENDITURE,5214,0,0,4755.640966628308,3499.5,4435.893693987304,0,34999.5
full_sample,2014,EXP_TRAVEL_EXPENDITURE,5214,0,0,920.2758918296893,0,2838.7654022466927,0,34999.5
full_sample,2014,INC_FAM_GOV_INCOME,3345,1869,0.358457997698504,2964.964125560538,0,4755.848068927708,0,34999.5
full_sample,2014,INC_FAM_INTEREST_INCOME,3345,1869,0.358457997698504,338.65321375186846,0,1912.1121768980636,0,34999.5
full_sample,2014,INC_FAM_OTHER_INCOME,3345,1869,0.358457997698504,377.4118086696562,0,3686.809168987428,0,54999.5
full_sample,2014,INC_FAM_RENT_INCOME,3345,1869,0.358457997698504,506.7177877428999,0,5091.549226164432,0,84999.5
full_sample,2014,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,3345,1869,0.358457997698504,67222.8134529148,64999.5,33559.19970895597,1499.5,294998.5
full_sample,2014,INC_FAM_TOTAL_DERIVED_INCOME,3345,1869,0.358457997698504,67222.8134529148,64999.5,33559.19970895597,1499.5,294998.5
full_sample,2014,INC_FAM_TRANSFER_INCOME,3345,1869,0.358457997698504,111.78609865470852,0,970.0704231180791,0,24999.5
full_sample,2014,INC_FAM_WORK_INCOME,3345,1869,0.358457997698504,62923.28041853513,54999.5,33127.22789518582,0,174999.5
full_sample,2014,INC_PERS_GOV_INCOME,5214,0,0,1436.29555044112,0,3279.9715436969104,0,34999.5
full_sample,2014,INC_PERS_INTEREST_INCOME,5214,0,0,179.66542002301495,0,1427.2603537929426,0,34999.5
full_sample,2014,INC_PERS_OTHER_INCOME,5214,0,0,220.54286536248563,0,2261.350316474902,0,84999.5
full_sample,2014,INC_PERS_RENT_INCOME,5214,0,0,181.23810893747603,0,2957.6844754452113,0,84999.5
full_sample,2014,INC_PERS_TRANSFER_INCOME,5214,0,0,164.53413885692368,0,1357.6725542678462,0,34999.5
full_sample,2014,INC_PERS_WORK_INCOME,5214,0,0,27366.28576908324,27499.5,20483.248279537656,0,174999.5
full_sample,2017,EXP_ALCOHOL_EXPENDITURE,5302,0,0,1958.647680120709,750,2798.8007107643575,0,25000
full_sample,2017,EXP_BOOKS_EXPENDITURE,1545,3757,0.7086005281026028,913.5922330097087,500,1463.7711612048067,500,35000
full_sample,2017,EXP_CARE_EXPENDITURE,261,5041,0.9507732930969446,11178.16091954023,6000,10036.944355200438,500,35000
full_sample,2017,EXP_CLEANING_EXPENDITURE,42,5260,0.992078460958129,7785.714285714285,2500,10169.983846032963,500,35000
full_sample,2017,EXP_CLOTHING_EXPENDITURE,5302,0,0,1614.0135797812147,1500,1881.6787003565826,500,25000
full_sample,2017,EXP_DINING_LODGING_EXPENDITURE,3465,1837,0.34647302904564314,5221.500721500722,3500,5927.894976779688,500,35000
full_sample,2017,EXP_EDU_TUITION_EXPENDITURE,2234,3068,0.5786495662014334,4815.1298119964185,3500,5209.500287295259,500,35000
full_sample,2017,EXP_FOOD_EXPENDITURE,5302,0,0,10170.878913617504,8500,7777.182386646685,1500,65000
full_sample,2017,EXP_FURNITURE_EXPENDITURE,5302,0,0,3530.3658996605054,2500,2924.86272112034,500,25000
full_sample,2017,EXP_HOUSING_UTIL_EXPENDITURE,5302,0,0,5185.165975103734,2750,6071.426871857824,0,75000
full_sample,2017,EXP_LOAN_INTEREST_EXPENDITURE,1491,3811,0.7187853640135797,9716.63313212609,6000,8789.65711199963,500,35000
full_sample,2017,EXP_MEDICAL_EXPENDITURE,5302,0,0,2088.787250094304,750,3641.3960659083864,0,35000
full_sample,2017,EXP_OTHER_EXPENDITURE,5302,0,0,2100.999622783855,1500,2382.6609363317057,500,35000
full_sample,2017,EXP_TAX_INS_GIFT_EXPENDITURE,5302,0,0,3596.614485099962,2250,4194.318471244241,0,35000
full_sample,2017,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1,5301,0.9998113919275745,128750,128750,NA,128750,128750
full_sample,2017,EXP_TOTAL_DERIVED_EXPENDITURE,5302,0,0,45191.34288947567,39500,26351.904033432817,5000,242250
full_sample,2017,EXP_TRANSPORT_COMM_EXPENDITURE,5302,0,0,4933.327046397586,3500,4837.379628832046,0,35000
full_sample,2017,EXP_TRAVEL_EXPENDITURE,1554,3748,0.7069030554507733,3277.6705276705275,1500,5293.931889757092,500,35000
full_sample,2017,INC_FAM_GOV_INCOME,5302,0,0,2287.344398340249,0,4374.051886036667,0,35000
full_sample,2017,INC_FAM_INTEREST_INCOME,5302,0,0,353.07431158053566,0,1886.47050483549,0,35000
