Survey Year,Variable,Valid N,Mean,Median,SD,Min,Max,Missing N,Missing %
2021,N_FAMILY,5409,3.554816047328548,3,2.0472414801089207,1,21,0,0
2021,N_INDI,5409,2.7816601959696787,2,1.8905489741641575,1,20,0,0
