sample_definition,Survey Year,Variable,Valid N,Mean,Median,SD,Min,Max,Missing N,Missing %
full_sample,2002,N_FAMILY,13113,4.501715854495539,4,2.2855257777225058,1,25,0,0
full_sample,2002,N_INDI,13113,4.0053382139861204,4,2.3596288384863597,0,20,0,0
full_sample,2006,N_FAMILY,6013,4.274239148511558,4,2.3781264970725555,1,22,0,0
full_sample,2006,N_INDI,6013,4.0011641443539,4,2.3846297526137716,1,21,0,0
full_sample,2010,N_FAMILY,5027,3.487368211657052,3,1.9271422920315495,1,18,0,0
full_sample,2010,N_INDI,5027,2.8716928585637556,3,1.7970131458267353,1,18,0,0
full_sample,2014,N_FAMILY,0,NA,NA,NA,NA,NA,5214,1
full_sample,2014,N_INDI,0,NA,NA,NA,NA,NA,5214,1
full_sample,2017,N_FAMILY,0,NA,NA,NA,NA,NA,5302,1
full_sample,2017,N_INDI,0,NA,NA,NA,NA,NA,5302,1
full_sample,2021,N_FAMILY,5409,3.5548160473285266,3,2.0472414801089123,1,21,0,0
full_sample,2021,N_INDI,5409,2.78166019596968,2,1.8905489741641324,1,20,0,0
indigenous_analysis_sample,2002,N_FAMILY,13113,4.501715854495539,4,2.2855257777225058,1,25,0,0
indigenous_analysis_sample,2002,N_INDI,13113,4.0053382139861204,4,2.3596288384863597,0,20,0,0
indigenous_analysis_sample,2006,N_FAMILY,6013,4.274239148511558,4,2.3781264970725555,1,22,0,0
indigenous_analysis_sample,2006,N_INDI,6013,4.0011641443539,4,2.3846297526137716,1,21,0,0
indigenous_analysis_sample,2010,N_FAMILY,5027,3.487368211657052,3,1.9271422920315495,1,18,0,0
indigenous_analysis_sample,2010,N_INDI,5027,2.8716928585637556,3,1.7970131458267353,1,18,0,0
indigenous_analysis_sample,2014,N_FAMILY,0,NA,NA,NA,NA,NA,5214,1
indigenous_analysis_sample,2014,N_INDI,0,NA,NA,NA,NA,NA,5214,1
indigenous_analysis_sample,2017,N_FAMILY,0,NA,NA,NA,NA,NA,4494,1
indigenous_analysis_sample,2017,N_INDI,0,NA,NA,NA,NA,NA,4494,1
indigenous_analysis_sample,2021,N_FAMILY,5409,3.5548160473285266,3,2.0472414801089123,1,21,0,0
indigenous_analysis_sample,2021,N_INDI,5409,2.78166019596968,2,1.8905489741641324,1,20,0,0
