path,bytes,modified_at,md5
data/processed_data/03_crosswalks/mapping_91_1_to_91_2.csv,8777,2026-06-19T18:18:37+0800,b3fcb02a5376b541f2f49b186b47e1fb
data/processed_data/03_crosswalks/mapping_91_2_to_95.csv,2232,2026-06-19T18:18:37+0800,0caef767dec6c0ea736cef3bd08aafa1
data/processed_data/03_crosswalks/question_codex_comparison.csv,39013,2026-07-30T22:26:49+0800,96102c0ca5d6c6c7ec6132e56d6fb396
data/processed_data/03_crosswalks/questionnaire_91_version_summary.csv,6293,2026-07-26T16:00:10+0800,0a06d875d3588960c0aff8ad48b69a77
data/processed_data/03_crosswalks/unified_answer_crosswalk_basic_info.csv,115785,2026-07-30T22:26:49+0800,806ca44d24da2fbe414b0f6cdddea851
data/processed_data/03_crosswalks/unified_answer_crosswalk_expenditure.csv,285139,2026-07-30T22:26:49+0800,b0eeed92a0cf66291405f5ae20b35048
data/processed_data/03_crosswalks/unified_answer_crosswalk_income.csv,370029,2026-07-30T22:26:49+0800,97d9a1530851bbe8183c3940257cd303
data/processed_data/03_crosswalks/variable_crosswalk.csv,115727,2026-07-30T22:26:49+0800,5e35fcf12582db6283fbd3f729b869fa
data/processed_data/03_income_expense/expenditure_data.csv,10555392,2026-07-28T17:16:46+0800,cbb4ea75107a47c68228a1b421212df5
data/processed_data/03_income_expense/expenditure_data.rds,1053680,2026-07-31T15:25:20+0800,6608db3d597d0f1949bcaff76e776a82
data/processed_data/03_income_expense/income_data.csv,22072005,2026-07-28T17:16:46+0800,fe731d9c1ad27337bb2c654e09ed55ab
data/processed_data/03_income_expense/income_data.rds,626772,2026-07-31T15:25:19+0800,b7797d3265bde51bb2143945e626a274
data/processed_data/03_income_expense/income_expenditure_data.csv,6649953,2026-06-18T11:09:28+0800,2cc8634d044a351b51433a94badf398b
data/processed_data/03_income_expense/income_expenditure_data.rds,1565820,2026-07-31T15:25:22+0800,6f2e32a5166797028b80334671d04ed4
data/processed_data/04_analysis_ready/05_DID_Ready_Variables.csv,7146,2026-06-04T17:40:09+0800,c504736b840fedc9aadfd1a9db8d6278
data/processed_data/04_analysis_ready/06_Concept_to_Variables_Mapping.csv,757,2026-06-04T17:40:09+0800,1ec661e294df1395b8de9cb0bbff58f4
data/processed_data/04_analysis_ready/06_Main_Years_Variable_Mapping.csv,4748,2026-06-04T17:40:09+0800,9d7dcb4770285cd00b149222b3e79dab
data/processed_data/04_analysis_ready/core_variables.csv,12265,2026-06-04T17:40:09+0800,657bdaa38b83fee04d94383cbe2c1309
data/processed_data/04_analysis_ready/cross_year_combined_data.csv,7325189,2026-06-28T16:06:13+0800,651e553e416a8bf09d4c0f1280064f56
data/processed_data/04_analysis_ready/cross_year_combined_data.rds,2198460,2026-07-31T18:04:24+0800,c5b8924955c550331fc6636e27f32887
data/processed_data/04_analysis_ready/cross_year_exploratory_emergency_2026_07_30.rds,1158,2026-07-30T21:59:16+0800,14cddb833f75501121df5615a384bd98
data/processed_data/04_analysis_ready/did_time_periods.csv,187,2026-06-04T17:40:09+0800,f1064bd79fe1f5f1ee2e4de0be5440a6
data/processed_data/04_analysis_ready/variable_rename_mapping.csv,567,2026-06-04T17:40:09+0800,0c7dae682f264c0c80c84a5ac9a652c9
data/processed_data/05_reference/cross_year_categorical_by_year.csv,2189565,2026-07-31T18:04:25+0800,dc2512818f33e24fd8ddfa7e7bc70d66
data/processed_data/05_reference/cross_year_categorical_by_year_region.csv,14279562,2026-07-31T18:04:29+0800,0525d8f2aa53a3f3f19b5a36a7ff0063
data/processed_data/05_reference/cross_year_numeric_by_year.csv,949,2026-07-31T18:04:24+0800,7f21d8fa09bbd4e9e954f0f92f8dcace
data/processed_data/05_reference/cross_year_numeric_by_year_region.csv,178914,2026-07-31T18:04:24+0800,007efb9eb20cb83f58073417e75a9bef
data/processed_data/05_reference/cross_year_summary_by_year.csv,89,2026-07-31T18:04:24+0800,b8e7ae24a30a15031fdaacf02a6dbc27
data/processed_data/05_reference/cross_year_summary_by_year_region.csv,29366,2026-07-31T18:04:24+0800,375d13e7c5517b2eedfeeb6d5938acba
data/processed_data/05_reference/town_yearly_panel.csv,7495,2026-05-01T15:10:02+0800,c8ca84299780e28b59958ea323da4f0f
data/processed_data/05_reference/經濟狀況調查報告_彙整變數_一覽.docx,12233,2026-07-02T07:53:43+0800,1edc44aef2d808b8c0d8036b39b456d3
data/processed_data/README.md,1348,2026-06-19T18:18:37+0800,fd8c4f306108bbd305ae058bb3f103f2
data/processed_data/README_processed-data-structure.md,1816,2026-07-26T16:03:09+0800,9fc2af95a4381b4c254e73e69bd542d0
data/processed_data/archive/2026-07-26/legacy_income_expense/expenditure_data.rds,85101,2026-06-18T02:45:44+0800,07afc32136517ed1ffb880acf3a719d3
data/processed_data/archive/2026-07-26/legacy_income_expense/expenditure_data_from_02.rds,85101,2026-06-18T02:45:44+0800,07afc32136517ed1ffb880acf3a719d3
data/processed_data/archive/2026-07-26/legacy_income_expense/income_data.rds,53668,2026-06-18T02:45:44+0800,9b022d6378c1fd586e00cd8ddbb0b265
data/processed_data/archive/2026-07-26/legacy_income_expense/income_data_from_02.rds,53668,2026-06-18T02:45:44+0800,9b022d6378c1fd586e00cd8ddbb0b265
data/processed_data/archive/2026-07-26/legacy_income_expense/income_expenditure_data.rds,117269,2026-06-18T02:45:44+0800,e905f1b92899e0ce2e414cf86bc17860
data/processed_data/archive/2026-07-26/legacy_income_expense/income_expenditure_data_from_02.rds,117269,2026-06-18T02:45:44+0800,e905f1b92899e0ce2e414cf86bc17860
data/processed_data/archive/README_processed-data-archive.md,366,2026-07-26T16:03:09+0800,4adf780796c793382d2b4f1dc88bd070
data/processed_data/basic_info.rds,88706,2026-06-11T17:05:23+0800,55e50d9775dd6dcb3dda764c22395391
data/processed_data/basic_info_from_02.rds,229095,2026-07-31T15:16:51+0800,81a42c72aa1683769169614c62582c2f
data/processed_data/city_data.rds,209022,2026-06-11T18:16:01+0800,46564b4199b3ae3b3a47a65ef4330e31
