year,source_version,source_pdf,question_id,question_text,option_code,option_text,available_in_91_1,available_in_91_2,integration_note
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,3,"3,000元至未滿5,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,4,"5,000元至未滿7,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,5,"7,000元至未滿1萬元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,6,1萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-2,請問每個月家庭平均支出中，酒、菸、檳榔等消費是多少?,7,無,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,1,"未滿1,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,2,"1,000元至未滿3,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,3,"3,000元至未滿5,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,4,"5,000元至未滿7,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,5,"7,000元至未滿1萬元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,6,1萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-3,請問每個月家庭平均支出中，醫療保健費用是多少?(包括看病的掛號費或藥費及個人買的,7,無,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,1,"未滿1,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,2,"1,000元至未滿3,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,3,"3,000元至未滿5,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,4,"5,000元至未滿7,000元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,5,"7,000元至未滿1萬元",1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,6,1萬元以上（請記錄金額）,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,23-4,請問每個月家庭平均支出中，運輸交通與通訊花費是多少?(油錢、電話費、公車費、汽機,7,無,1,1,shared_in_both_versions
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,1,"未滿1,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,2,"1,000元至未滿3,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,3,"3,000元至未滿5,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,4,"5,000元至未滿7,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,5,"7,000元至未滿1萬元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,6,1萬元以上（請記錄金額）,0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-5,請問每個月家庭平均支出中，教育書報雜誌文具花費多少?,7,無,0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,1,"未滿1,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,2,"1,000元至未滿3,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,3,"3,000元至未滿5,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,4,"5,000元至未滿7,000元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,5,"7,000元至未滿1萬元",0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,6,1萬元以上（請記錄金額）,0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,23-6,請問每個月家庭平均支出中，旅遊娛樂消遣支出是多少?,7,無,0,1,version_specific_to_91_2
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,24,請問您的配偶有沒有在工作?,1,有,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,24,請問您的配偶有沒有在工作?,2,沒有,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25,為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,1,希望,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25,為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作?,2,不希望,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25-1,請問您為什麼不希望您的配偶外出工作?,1,無法找到工作,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25-1,請問您為什麼不希望您的配偶外出工作?,2,小孩無人照顧,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25-1,請問您為什麼不希望您的配偶外出工作?,3,需要照顧其他家人或料理家事,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25-1,請問您為什麼不希望您的配偶外出工作?,4,改善經濟是我的責任,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,25-1,請問您為什麼不希望您的配偶外出工作?,5,其他，請說明,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,26,為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,1,需要,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,26,為了改善您的經濟狀況，請問您或您的家人需不需要政府幫忙?,2,不需要,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,1,提供職業訓練、輔導就業或轉業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,2,提供短期低利貸款來協助自行創業,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,3,提供長期低利貸款來協助購屋或換屋,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,26-1,您或您的家人最需要政府幫忙的事項是：,4,其他，請說明,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27,假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,1,會,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27,假如為了改善原住民經濟狀況，政府提供一筆15年年利率固定3%的低利貸款，前三年僅繳利,2,不會,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27-1,請問您會貸多少款項?(萬元),,,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27-2,請問您不會申請貸款的原因?,1,沒有能力繳納利息,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27-2,請問您不會申請貸款的原因?,2,沒有需要,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27-2,請問您不會申請貸款的原因?,3,不知道作什麼用,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27-2,請問您不會申請貸款的原因?,4,找不到擔保品或擔保人,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,27-2,請問您不會申請貸款的原因?,5,其他，請說明,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,b01,訪員編號,,,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,county,縣市鄉鎮市區,,,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,level,行政區域分層,,,1,1,shared_in_both_versions
91,91_1;91_2,ques91-1.pdf;ques91-2.pdf,q28,受訪身分,,,1,1,shared_in_both_versions
91,91_2,ques91-2.pdf,w,樣本權數,,,0,1,version_specific_to_91_2
91,91_2,ques91-2.pdf,w_b,母體權數,,,0,1,version_specific_to_91_2
91,91_1,ques91-1.pdf,w_c,母體權數,,,1,0,version_specific_to_91_1
91,91_1,ques91-1.pdf,w_d,樣本權數,,,1,0,version_specific_to_91_1
