year,source_pdf,question_id,question_text,option_code,option_text
106,ques106.pdf,S1,請問登記在此戶籍地址的成員是否有具原住民身分的人？,1.0,有，登記且居住在此戶籍地址
106,ques106.pdf,S1,請問登記在此戶籍地址的成員是否有具原住民身分的人？,2.0,有，但沒有居住在此(寄籍)(結束訪問)
106,ques106.pdf,S1,請問登記在此戶籍地址的成員是否有具原住民身分的人？,3.0,沒有(結束訪問)
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),1.0,經濟戶長(跳答F 部分)
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),2.0,次要經濟戶長(續答S3)
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),3.0,家庭收支掌管者代答(續答S3)
106,ques106.pdf,S2,本訪問表的訪問對象是？(可複選),4.0,其他代答者(續答S3)
106,ques106.pdf,S3,尋求代答的主要原因是：______________________________________________,,
106,ques106.pdf,S4,代答者是經濟戶長的什麼人：______________________________________________,,
106,ques106.pdf,F1,請問目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)？_____人,,
106,ques106.pdf,F1-1,與您同戶籍且共同生活的人(包括自己且不限原住民)，請依年齡、是否為原住民填寫下表。,,
106,ques106.pdf,F2,請問目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人？__________人,,
106,ques106.pdf,F3,請問目前與您「不同戶籍」，但「有住在一起」的有幾個人？__________人,,
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),1.0,所得
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),2.0,兄弟姊妹提供
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),3.0,政府補助
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),4.0,社會捐助
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),5.0,父母提供
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),6.0,婆家或岳父母提供
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),7.0,親戚朋友提供
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),8.0,子女提供
106,ques106.pdf,F4,請問您家庭的主要經濟來源是什麼？(可複選，超過總收入五分之一者皆算入主要經濟來源),9.0,其他，請說明_______________ G 部分：經濟戶長基本資料
106,ques106.pdf,G1,經濟戶長性別？□(1)男性 □(2)女性,1.0,男性
106,ques106.pdf,G1,經濟戶長性別？□(1)男性 □(2)女性,2.0,女性
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,1.0,15~19 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,2.0,20~24 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,3.0,25~29 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,4.0,30~34 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,5.0,35~39 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,6.0,40~44 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,7.0,45~49 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,8.0,50~54 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,9.0,55~59 歲
106,ques106.pdf,G2,請問經濟戶長今年幾歲？,10.0,60~64 歲
