year,source_pdf,question_id,question_text,option_code,option_text,extraction_note
103,ques103.pdf,G3,請問您現在住的房子是什麼時候購買/搭建的？ 民國___________年,,,no_coded_option_detected
103,ques103.pdf,G4,請問您現在住的房子樓地板面積是多少？ ___________坪,,,no_coded_option_detected
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,1,未滿50,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,2,50 萬元-未滿100萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,3,100 萬元-未滿 150,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,4,150 萬元-未滿200萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,5,200 萬元-未滿300萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,6,300 萬元-未滿 400,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,7,400 萬元-未滿500萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,8,500 萬元-未滿600萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,9,600 萬元-未滿700,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,10,700 萬元-未滿800 萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,11,800 萬元-未滿900 萬元,
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,12,"900 萬元-未滿1,000 萬元",
103,ques103.pdf,G5,請問您現在住的房子當初購買/搭建共花了多少錢？,13,"1,000 萬元及以上，請記錄______________萬元",
103,ques103.pdf,G6,請問您們家目前有沒有房屋貸款？,1,有,
103,ques103.pdf,G6,請問您們家目前有沒有房屋貸款？,2,沒有跳答G7,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,1,未滿50,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,2,50 萬元-未滿100萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,3,100 萬元-未滿150,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,4,150 萬元-未滿200萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,5,200 萬元-未滿300萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,6,300 萬元-未滿400,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,7,400 萬元-未滿500萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,8,500 萬元-未滿600萬元,
103,ques103.pdf,G6-1,請問您家中目前的房屋貸款總共借（貸）了多少錢？,9,600 萬元-未滿700,
