sample_definition,Survey Year,City,County,Sample N
full_sample,2010,雲林縣,虎尾鎮,13
full_sample,2010,雲林縣,西螺鎮,16
full_sample,2010,雲林縣,麥寮鄉,2
full_sample,2010,高雄市,三民區,17
full_sample,2010,高雄市,前金區,3
full_sample,2010,高雄市,前鎮區,19
full_sample,2010,高雄市,小港區,27
full_sample,2010,高雄市,左營區,22
full_sample,2010,高雄市,新興區,2
full_sample,2010,高雄市,旗津區,4
full_sample,2010,高雄市,楠梓區,18
full_sample,2010,高雄市,苓雅區,7
full_sample,2010,高雄市,鹽埕區,2
full_sample,2010,高雄市,鼓山區,12
full_sample,2010,高雄縣,六龜鄉,7
full_sample,2010,高雄縣,大寮鄉,3
full_sample,2010,高雄縣,岡山鎮,73
full_sample,2010,高雄縣,桃源鄉,32
full_sample,2010,高雄縣,茂林鄉,13
full_sample,2010,高雄縣,那瑪夏鄉,18
full_sample,2010,高雄縣,鳳山市,16
full_sample,2014,南投縣,仁愛鄉,100
full_sample,2014,南投縣,信義鄉,69
full_sample,2014,南投縣,南投市,45
full_sample,2014,南投縣,埔里鎮,24
full_sample,2014,南投縣,魚池鄉,25
full_sample,2014,嘉義市,東區,38
full_sample,2014,嘉義市,西區,26
full_sample,2014,嘉義縣,民雄鄉,25
full_sample,2014,嘉義縣,水上鄉,1
full_sample,2014,嘉義縣,番路鄉,2
full_sample,2014,嘉義縣,阿里山鄉,31
full_sample,2014,基隆市,七堵區,8
full_sample,2014,基隆市,中正區,39
full_sample,2014,基隆市,信義區,16
full_sample,2014,基隆市,安樂區,34
full_sample,2014,宜蘭縣,南澳鄉,5
full_sample,2014,宜蘭縣,大同鄉,9
full_sample,2014,宜蘭縣,宜蘭市,3
full_sample,2014,宜蘭縣,羅東鎮,8
full_sample,2014,屏東縣,三地門鄉,61
full_sample,2014,屏東縣,來義鄉,72
full_sample,2014,屏東縣,內埔鄉,39
full_sample,2014,屏東縣,屏東市,71
full_sample,2014,屏東縣,春日鄉,28
full_sample,2014,屏東縣,枋寮鄉,2
full_sample,2014,屏東縣,泰武鄉,35
full_sample,2014,屏東縣,滿州鄉,29
full_sample,2014,屏東縣,潮州鎮,19
full_sample,2014,屏東縣,牡丹鄉,49
full_sample,2014,屏東縣,獅子鄉,34
full_sample,2014,屏東縣,瑪家鄉,65
full_sample,2014,屏東縣,萬丹鄉,2
full_sample,2014,屏東縣,萬巒鄉,19
full_sample,2014,屏東縣,霧臺鄉,22
full_sample,2014,彰化縣,彰化市,58
full_sample,2014,彰化縣,花壇鄉,8
full_sample,2014,新北市,三峽區,24
full_sample,2014,新北市,三重區,27
full_sample,2014,新北市,中和區,23
full_sample,2014,新北市,五股區,3
full_sample,2014,新北市,八里區,26
full_sample,2014,新北市,土城區,38
full_sample,2014,新北市,新店區,66
full_sample,2014,新北市,新莊區,87
full_sample,2014,新北市,板橋區,9
full_sample,2014,新北市,林口區,37
full_sample,2014,新北市,樹林區,70
full_sample,2014,新北市,永和區,15
full_sample,2014,新北市,汐止區,72
full_sample,2014,新北市,泰山區,2
full_sample,2014,新北市,淡水區,3
full_sample,2014,新北市,烏來區,30
full_sample,2014,新北市,瑞芳區,23
full_sample,2014,新北市,蘆洲區,55
full_sample,2014,新北市,鶯歌區,14
full_sample,2014,新竹市,北區,28
full_sample,2014,新竹市,東區,35
full_sample,2014,新竹縣,五峰鄉,41
full_sample,2014,新竹縣,尖石鄉,53
