domain,data_year,survey_tag,integrated_var,raw_var,dataset_var,storage_type,value_label_n,non_missing_n,distinct_n,indicator_var,indicator_exists,open_amount_var,open_amount_exists
expenditure,2002,91_1,EXP_ALCOHOL,23-2,q23b,haven_labelled;vctrs_vctr;double,7,6548,7,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_ALCOHOL,23-2,q23b,haven_labelled;vctrs_vctr;double,7,6456,7,NA,FALSE,NA,FALSE
expenditure,2002,91_1,EXP_EDU_BOOKS_COMBINED,23-5,q23e,NULL,0,0,0,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_EDU_BOOKS_COMBINED,23-5,q23e,haven_labelled;vctrs_vctr;double,7,6442,7,NA,FALSE,NA,FALSE
expenditure,2002,91_1,EXP_FOOD,23-1,q23a,haven_labelled;vctrs_vctr;double,9,6476,7,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_FOOD,23-1,q23a,haven_labelled;vctrs_vctr;double,9,6439,7,NA,FALSE,NA,FALSE
expenditure,2002,91_1,EXP_MEDICAL,23-3,q23c,haven_labelled;vctrs_vctr;double,7,6453,7,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_MEDICAL,23-3,q23c,haven_labelled;vctrs_vctr;double,7,6421,7,NA,FALSE,NA,FALSE
expenditure,2002,91_1,EXP_TOTAL_SYN,23,q23,haven_labelled;vctrs_vctr;double,8,6606,8,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_TOTAL_SYN,23,q23,haven_labelled;vctrs_vctr;double,8,6491,8,NA,FALSE,NA,FALSE
expenditure,2002,91_1,EXP_TRANSPORT_COMM,23-4,q23d,haven_labelled;vctrs_vctr;double,7,6526,7,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_TRANSPORT_COMM,23-4,q23d,haven_labelled;vctrs_vctr;double,7,6458,7,NA,FALSE,NA,FALSE
expenditure,2002,91_1,EXP_TRAVEL,23-6,q23f,NULL,0,0,0,NA,FALSE,NA,FALSE
expenditure,2002,91_2,EXP_TRAVEL,23-6,q23f,haven_labelled;vctrs_vctr;double,7,6472,7,NA,FALSE,NA,FALSE
income,2002,91_1,INC_FAM_GOV,22-2,q22b,haven_labelled;vctrs_vctr;double,9,6615,9,NA,FALSE,NA,FALSE
income,2002,91_2,INC_FAM_GOV,22-2,q22b,haven_labelled;vctrs_vctr;double,9,6498,9,NA,FALSE,NA,FALSE
income,2002,91_1,INC_FAM_OTHER,22-3,q22c,haven_labelled;vctrs_vctr;double,9,6615,6,NA,FALSE,NA,FALSE
income,2002,91_2,INC_FAM_OTHER,22-3,q22c,haven_labelled;vctrs_vctr;double,9,6498,6,NA,FALSE,NA,FALSE
income,2002,91_1,INC_FAM_TOTAL,21,q21,haven_labelled;vctrs_vctr;double,8,6615,8,NA,FALSE,NA,FALSE
income,2002,91_2,INC_FAM_TOTAL,21,q21,haven_labelled;vctrs_vctr;double,8,6498,8,NA,FALSE,NA,FALSE
income,2002,91_1,INC_FAM_WORK,22-1,q22a,haven_labelled;vctrs_vctr;double,9,6615,9,NA,FALSE,NA,FALSE
income,2002,91_2,INC_FAM_WORK,22-1,q22a,haven_labelled;vctrs_vctr;double,9,6498,9,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_ALCOHOL,Q12-5,q125,haven_labelled;vctrs_vctr;double,13,6013,12,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_CARE,Q12-13,q1213,haven_labelled;vctrs_vctr;double,13,6013,13,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_CLEANING,Q12-7,q127,haven_labelled;vctrs_vctr;double,13,6013,13,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_CLOTHING,Q12-11,q1211,haven_labelled;vctrs_vctr;double,13,6013,11,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_EDU_BOOKS_COMBINED,Q12-8,q128,haven_labelled;vctrs_vctr;double,13,6013,16,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_FOOD,Q12-1,q121,haven_labelled;vctrs_vctr;double,13,6013,12,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_FURNITURE,Q12-12,q1212,haven_labelled;vctrs_vctr;double,13,6013,13,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_HOUSING_UTIL,Q12-2,q122,haven_labelled;vctrs_vctr;double,13,6013,11,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_LOAN_INTEREST,Q12-10,q1210,haven_labelled;vctrs_vctr;double,13,6013,14,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_MEDICAL,Q12-4,q124,haven_labelled;vctrs_vctr;double,13,6013,13,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_OTHER,Q12-14,q1214,haven_labelled;vctrs_vctr;double,13,6013,12,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_TAX_INS_GIFT,Q12-6,q126,haven_labelled;vctrs_vctr;double,13,6013,12,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_TRANSPORT_COMM,Q12-3,q123,haven_labelled;vctrs_vctr;double,13,6013,13,NA,FALSE,NA,FALSE
expenditure,2006,95,EXP_TRAVEL,Q12-9,q129,haven_labelled;vctrs_vctr;double,13,6013,14,NA,FALSE,NA,FALSE
income,2006,95,INC_FAM_GOV,Q11-2,q112,haven_labelled;vctrs_vctr;double,12,6013,12,NA,FALSE,NA,FALSE
income,2006,95,INC_FAM_INTEREST,Q11-3,q113,haven_labelled;vctrs_vctr;double,14,6013,12,NA,FALSE,NA,FALSE
income,2006,95,INC_FAM_OTHER,Q11-5,q115,haven_labelled;vctrs_vctr;double,14,6013,11,NA,FALSE,NA,FALSE
income,2006,95,INC_FAM_RENT,Q11-4,q114,haven_labelled;vctrs_vctr;double,14,6013,9,NA,FALSE,NA,FALSE
income,2006,95,INC_FAM_WORK,Q11-1,q111,haven_labelled;vctrs_vctr;double,15,6013,18,NA,FALSE,NA,FALSE
income,2006,95,INC_PERS_GOV,Q10-2,q102,haven_labelled;vctrs_vctr;double,12,6013,12,NA,FALSE,NA,FALSE
income,2006,95,INC_PERS_INTEREST,Q10-3,q103,haven_labelled;vctrs_vctr;double,14,6013,14,NA,FALSE,NA,FALSE
income,2006,95,INC_PERS_OTHER,Q10-5,q105,haven_labelled;vctrs_vctr;double,14,6013,14,NA,FALSE,NA,FALSE
income,2006,95,INC_PERS_RENT,Q10-4,q104,haven_labelled;vctrs_vctr;double,14,6013,12,NA,FALSE,NA,FALSE
