data_year,survey_tag,main_var,supplement_var,rent_before_main,rent_before_supplement,rent_after_imputation,rent_source,rent_harmonized,frequency
2002,91_1,q19,NA,1千~未滿3千元,NA,1千~未滿3千元,main,NA,75
2002,91_1,q19,NA,1萬~未滿2萬元,NA,1萬~未滿2萬元,main,NA,243
2002,91_1,q19,NA,2萬元以上,NA,2萬元以上,main,"20,000元以上",24
2002,91_1,q19,NA,3千~未滿5千元,NA,3千~未滿5千元,main,NA,183
2002,91_1,q19,NA,5千~未滿7千元,NA,5千~未滿7千元,main,NA,240
2002,91_1,q19,NA,7千~未滿1萬元,NA,7千~未滿1萬元,main,NA,244
2002,91_1,q19,NA,拒答,NA,拒答,main,NA,31
2002,91_1,q19,NA,未滿1千元,NA,未滿1千元,main,"未滿1,000元",64
2002,91_1,q19,NA,沒有租金,NA,沒有租金,main,NA,51
2002,91_1,q19,NA,NA,NA,NA,missing,NA,5460
2002,91_2,q19,NA,1千~未滿3千元,NA,1千~未滿3千元,main,NA,74
2002,91_2,q19,NA,1萬~未滿2萬元,NA,1萬~未滿2萬元,main,NA,246
2002,91_2,q19,NA,2萬元以上,NA,2萬元以上,main,"20,000元以上",19
2002,91_2,q19,NA,3千~未滿5千元,NA,3千~未滿5千元,main,NA,172
2002,91_2,q19,NA,5千~未滿7千元,NA,5千~未滿7千元,main,NA,244
2002,91_2,q19,NA,7千~未滿1萬元,NA,7千~未滿1萬元,main,NA,253
2002,91_2,q19,NA,拒答,NA,拒答,main,NA,12
2002,91_2,q19,NA,未滿1千元,NA,未滿1千元,main,"未滿1,000元",43
2002,91_2,q19,NA,沒有租金,NA,沒有租金,main,NA,75
2002,91_2,q19,NA,NA,NA,NA,missing,NA,5360
2006,95,q4,NA,"1,000-2,999元",NA,"1,000-2,999元",main,"1,000-2,999元",60
2006,95,q4,NA,"10,000-19,999元",NA,"10,000-19,999元",main,NA,175
2006,95,q4,NA,"20,000元及以上，請記錄_____元",NA,"20,000元及以上，請記錄_____元",main,NA,22
2006,95,q4,NA,"3,000-4,999元",NA,"3,000-4,999元",main,"3,000-4,999元",162
2006,95,q4,NA,"5,000-6,999元",NA,"5,000-6,999元",main,"5,000-6,999元",237
2006,95,q4,NA,"7,000-9,999元",NA,"7,000-9,999元",main,"7,000-9,999元",215
2006,95,q4,NA,999元及以下,NA,999元及以下,main,"未滿1,000元",31
2006,95,q4,NA,不用付租金,NA,不用付租金,main,NA,279
2006,95,q4,NA,不知道/拒答,NA,不知道/拒答,main,NA,35
2006,95,q4,NA,自有住宅,NA,自有住宅,main,NA,4797
2010,99,g2,NA,1000 - 2999元,NA,1000 - 2999元,main,NA,56
2010,99,g2,NA,10000 - 14999元,NA,10000 - 14999元,main,NA,201
2010,99,g2,NA,15000 - 19999元,NA,15000 - 19999元,main,NA,51
2010,99,g2,NA,20000元及以上,NA,20000元及以上,main,NA,27
2010,99,g2,NA,3000 - 4999元,NA,3000 - 4999元,main,NA,132
2010,99,g2,NA,5000 - 6999元,NA,5000 - 6999元,main,NA,298
2010,99,g2,NA,7000 - 9999元,NA,7000 - 9999元,main,NA,303
2010,99,g2,NA,999 元及以下,NA,999 元及以下,main,"未滿1,000元",35
2010,99,g2,NA,不需要支付租金,NA,不需要支付租金,main,不需要支付租金,29
2010,99,g2,NA,未回答,NA,未回答,main,NA,14
2010,99,g2,NA,NA,NA,NA,missing,NA,3881
2014,103,g2,g2o,"1,000-2,999元",NA,"1,000-2,999元",main,"1,000-2,999元",42
2014,103,g2,g2o,"10,000-14,999元",NA,"10,000-14,999元",main,"10,000-19,999元",286
2014,103,g2,g2o,"15,000-19,999元",NA,"15,000-19,999元",main,"10,000-19,999元",57
2014,103,g2,g2o,"20,000元及以上，請記錄___元",20000,"20,000元及以上，請記錄___元",main,NA,5
2014,103,g2,g2o,"20,000元及以上，請記錄___元",22000,"20,000元及以上，請記錄___元",main,NA,3
2014,103,g2,g2o,"20,000元及以上，請記錄___元",23000,"20,000元及以上，請記錄___元",main,NA,4
