data_year,survey_tag,integrated_var,dataset_var,value_source,frequency,example_values
2014,103,INC_PERS_WORK,h1,source_question,5214,"10,000-14,999元;100,000-129,999元;130,000-159,999元;15,000-19,999元;160,000元及以上，請記錄__元"
2017,106,INC_FAM_GOV,l4,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,INC_FAM_INTEREST,l6,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,INC_FAM_OTHER,l8,source_question,5302,"10,000元~未滿15,000元;15,000元~未滿20,000元;20,000元~未滿25,000元;25,000元~未滿30,000元;30,000元~未滿40,000元"
2017,106,INC_FAM_RENT,l7,source_question,5302,"10,000元~未滿15,000元;15,000元~未滿20,000元;20,000元~未滿25,000元;25,000元~未滿30,000元;30,000元~未滿40,000元"
2017,106,INC_FAM_TRANSFER,l5,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,INC_FAM_WORK,l3,source_question,5302,"10,000元~未滿20,000元;100,000元~未滿130,000元;130,000元~未滿160,000元;160,000元以上;20,000元~未滿30,000元"
2017,106,INC_PERS_GOV,j2,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,INC_PERS_INTEREST,j4,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,INC_PERS_OTHER,j6,source_question,5302,"10,000元~未滿15,000元;15,000元~未滿20,000元;20,000元~未滿25,000元;25,000元~未滿30,000元;30,000元~未滿40,000元"
2017,106,INC_PERS_RENT,j5,source_question,5302,"10,000元~未滿15,000元;15,000元~未滿20,000元;20,000元~未滿25,000元;25,000元~未滿30,000元;30,000元~未滿40,000元"
2017,106,INC_PERS_TRANSFER,j3,source_question,5302,"1,000元~未滿2,000元;10,000元~未滿15,000元;15,000元~未滿20,000元;2,000元~未滿3,000元;20,000元~未滿30,000元"
2017,106,INC_PERS_WORK,j1,source_question,5302,"10,000元~未滿15,000元;100,000元~未滿130,000元;130,000元~未滿160,000元;15,000元~未滿20,000元;160,000元及以上"
2021,110,INC_FAM_GOV,g4,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,INC_FAM_INTEREST,g6,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,INC_FAM_OTHER,g8,source_question,5409,"10,000元-未滿15,000元;15,000元-未滿20,000元;20,000元-未滿25,000元;25,000元-未滿30,000元;30,000元-未滿40,000元"
2021,110,INC_FAM_RENT,g7,source_question,5409,"10,000元-未滿15,000元;15,000元-未滿20,000元;20,000元-未滿25,000元;25,000元-未滿30,000元;30,000元-未滿40,000元"
2021,110,INC_FAM_TRANSFER,g5,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,INC_FAM_WORK,g3,source_question,5409,"10,000元-未滿20,000元;100,000元-未滿130,000元;130,000元-未滿160,000元;160,000元以上;20,000元-未滿30,000元"
2021,110,INC_PERS_GOV,e2,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,INC_PERS_INTEREST,e4,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,INC_PERS_OTHER,e6,source_question,5409,"10,000元-未滿15,000元;15,000元-未滿20,000元;20,000元-未滿25,000元;25,000元-未滿30,000元;30,000元-未滿40,000元"
2021,110,INC_PERS_RENT,e5,source_question,5409,"10,000元-未滿15,000元;15,000元-未滿20,000元;20,000元-未滿25,000元;25,000元-未滿30,000元;30,000元-未滿40,000元"
2021,110,INC_PERS_TRANSFER,e3,source_question,5409,"1,000元-未滿2,000元;10,000元-未滿15,000元;15,000元-未滿20,000元;2,000元-未滿3,000元;20,000元-未滿30,000元"
2021,110,INC_PERS_WORK,e1,source_question,5409,"10,000元-未滿15,000元;100,000元-未滿130,000元;130,000元-未滿160,000元;15,000元-未滿20,000元;160,000元以上"
