ID,DATA_Y
1329203,2021
1329349,2021
1329558,2021
1329674,2021
1330056,2021
1330277,2021
1330404,2021
1330422,2021
1330430,2021
1331330,2021
1331666,2021
1331918,2021
1332986,2021
1333152,2021
1333618,2021
1334313,2021
1334386,2021
1334454,2021
1334470,2021
1334678,2021
1335720,2021
1335949,2021
1336082,2021
1336115,2021
1336125,2021
1336138,2021
1336278,2021
1336444,2021
1336861,2021
1336894,2021
1336982,2021
1337074,2021
1337463,2021
1337876,2021
1337985,2021
1338096,2021
1338909,2021
1340346,2021
1340397,2021
1340724,2021
1340742,2021
1340836,2021
1341190,2021
1341596,2021
1342093,2021
1342633,2021
1342932,2021
1343425,2021
1343787,2021
1344570,2021
1344943,2021
1345735,2021
1345979,2021
1346209,2021
1346301,2021
1346338,2021
1347827,2021
1348132,2021
1349375,2021
1349584,2021
1350025,2021
1350232,2021
1350300,2021
1350538,2021
1350707,2021
1350836,2021
1350855,2021
1351204,2021
1351294,2021
1351524,2021
1351944,2021
1352152,2021
1352283,2021
1352536,2021
1353601,2021
1354054,2021
1354137,2021
1354442,2021
1354521,2021
1354672,2021
1354769,2021
1355148,2021
1355179,2021
1355320,2021
1355351,2021
1355541,2021
1355580,2021
1355724,2021
1356194,2021
1356243,2021
1357151,2021
1357720,2021
1357804,2021
1358221,2021
1358319,2021
1358402,2021
1358604,2021
1358812,2021
1359694,2021
1361158,2021
1362184,2021
1362185,2021
1362358,2021
1362479,2021
1362528,2021
1362766,2021
1363135,2021
1363403,2021
1363808,2021
1364010,2021
1364199,2021
1364318,2021
1365682,2021
1365763,2021
1366182,2021
1366211,2021
1366654,2021
1366859,2021
1366883,2021
1367057,2021
1367185,2021
1367389,2021
1367644,2021
1367687,2021
1367904,2021
1367979,2021
1368010,2021
1368126,2021
1368312,2021
1368357,2021
1368538,2021
1368732,2021
1369671,2021
1369786,2021
1369956,2021
1370264,2021
1370317,2021
1370338,2021
1370380,2021
1372529,2021
1372637,2021
1372706,2021
1373405,2021
1373678,2021
1374146,2021
1374528,2021
2329196,2021
2329432,2021
2329596,2021
2329715,2021
2330047,2021
2330140,2021
2330279,2021
2330325,2021
2330472,2021
2330486,2021
2330517,2021
2330669,2021
2330898,2021
2330991,2021
2331406,2021
2331854,2021
2331872,2021
2332213,2021
2333725,2021
2333922,2021
2334464,2021
2334629,2021
2334707,2021
2335235,2021
2335302,2021
2335468,2021
2335681,2021
2336688,2021
2337059,2021
2337147,2021
2337513,2021
2337561,2021
2337866,2021
2338044,2021
2339525,2021
2340109,2021
2340277,2021
2340483,2021
2341112,2021
2341258,2021
2342014,2021
2342214,2021
2343299,2021
2343347,2021
2343378,2021
2343764,2021
2344375,2021
2344565,2021
2344806,2021
2345727,2021
2345829,2021
2346161,2021
2346485,2021
2347721,2021
2347995,2021
2348613,2021
2348966,2021
2349142,2021
2349147,2021
2349866,2021
2350463,2021
2350954,2021
2351210,2021
2351432,2021
2351483,2021
2351557,2021
2351695,2021
2351747,2021
2351898,2021
2351901,2021
2352150,2021
2352160,2021
2352205,2021
2352222,2021
2352241,2021
2352355,2021
2352667,2021
2352942,2021
2353140,2021
2353162,2021
2353205,2021
2353731,2021
2353820,2021
2353826,2021
2354095,2021
2354140,2021
2354183,2021
2354717,2021
2354884,2021
2355021,2021
2355108,2021
2355630,2021
2355676,2021
2355732,2021
2355825,2021
2355995,2021
2356753,2021
2357115,2021
2357137,2021
2357270,2021
2357743,2021
