variable,label,type,source
b7_2,請問經濟戶長 111年 9月11日至 9 月 17日在做什麼工作？(單選) □(1)從事某種工作 跳答 B7-1 □(2)利用課餘或假期工作 □(3)家事餘暇從事工作 □(4)有工作而未做 跳答 B8 □(5)無工作在找工作或已找工作在等待結果 跳答 B8 □(6)想工作而未找工作，且隨時可以開始工作 跳答 B8 □(7)求學及準備升學 (兼有工作者選2、無工作在找工作或已找工作在等待結果選5) ,character,110
b7o,b7o,character,110
b7_2o,請問經濟戶長 111年 9月11日至 9 月 17日在做什麼工作？(單選) □(1)從事某種工作 跳答 B7-1 □(2)利用課餘或假期工作 □(3)家事餘暇從事工作 □(4)有工作而未做 跳答 B8 □(5)無工作在找工作或已找工作在等待結果 跳答 B8 □(6)想工作而未找工作，且隨時可以開始工作 跳答 B8 □(7)求學及準備升學 (兼有工作者選2、無工作在找工作或已找工作在等待結果選5) ,character,110
b8,請問經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中？ □(1)有(續答B9) □(2)沒有(跳答C 部分),character,110
b9,請問經濟戶長從事的原住民文化創意產業性質為何？ □(1)視覺藝術產業 □(2)音樂及表演藝術產業 □(3)文化資產應用及展演設施產業 □(4)工藝產業 □(5)電影產業 □(6)廣播電視產業 □(7)出版產業 □(8)廣告產業 □(9)產品設計產業 □(10)視覺傳達設計產業 □(11)設計品牌時尚產業 □(12)建築設計產業 □(13)數位內容產業 □(14)創意生活產業 □(15)流行音樂及文,character,110
b9o,b9o,character,110
c1,請問您現在住的房子是屬於誰的？ □(1)自有(住宅所有權為家庭內共同生活居住成員擁有) /自己搭建跳答 C3 □(2)不住在一起的配偶、父母或子女所擁有(住宅所有權不屬於家庭內共同生活居住成員擁有) 跳答 C3 □(3)向政府租賃(如:社會住宅) 續問C2 □(4)向私人租賃續問C2 □(5)單位/公司配住續問C2 □(6)借用(目前居住的住宅向他人借用，不需支付費用，如退休人員續住公家宿舍)跳答,character,110
c1o,c1o,character,110
c2,"若房子為租賃/配住者（C1回答3、4、5者），請問您每個月的房屋租金是多少？回答完跳答D部 分 □(1)未滿 1,000元 □(2)1,000 元-未滿3,000元 □(3)3,000 元-未滿5,000元 □(4)5,000 元-未滿6,000元 □(5)6,000 元-未滿7,000元 □(6)7,000 元-未滿8,000元 □(7)8,000 元-未滿9,000元 □(8)9,000 元-",character,110
c2o,c2o,numeric,110
c3,請問您現在住的房子是什麼時候購買/搭建的？民國___________年,character,110
c4,請問您現在住的房子樓地板面積是多少？___________坪,numeric,110
c5,請問您現在住的房子如果出租的話，租金會是多少？________________元,numeric,110
c6,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,character,110
c6_1_1,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,character,110
c6_1_2,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,character,110
c6_1o,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,character,110
c6_2,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,character,110
c6_2o,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,numeric,110
c6_3,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,character,110
c6_3o,請問您們家目前有沒有房屋貸款？ □(1)有 □(2)沒有跳答 D部分,numeric,110
d1,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,character,110
d1_1_1,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,character,110
d1_1_2,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,character,110
d1_1o,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,character,110
d1_2,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,character,110
d1_2o,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,numeric,110
d1_3,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,character,110
d1_3o,請問經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢？ □(1)有 □(2)沒有跳答D2,numeric,110
d2,請問經濟戶長有沒有創業貸款？ □(1)有 □(2)沒有跳答D3,character,110
d2_1_1,請問經濟戶長有沒有創業貸款？ □(1)有 □(2)沒有跳答D3,character,110
d2_1_2,請問經濟戶長有沒有創業貸款？ □(1)有 □(2)沒有跳答D3,character,110
d2_2,請問經濟戶長有沒有創業貸款？ □(1)有 □(2)沒有跳答D3,character,110
d2_3,請問經濟戶長有沒有創業貸款？ □(1)有 □(2)沒有跳答D3,character,110
d3,請問經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形？ □(1)有 □(2)沒有跳答D4,character,110
d3_1,請問經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形？ □(1)有 □(2)沒有跳答D4,character,110
d3_1o,請問經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形？ □(1)有 □(2)沒有跳答D4,numeric,110
d3_2,請問經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形？ □(1)有 □(2)沒有跳答D4,character,110
d4,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,character,110
d4o,d4o,character,110
d4_1_1,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,character,110
d4_1o,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,character,110
d4_2,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,character,110
d4_2o,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,numeric,110
d4_3,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,character,110
d4_3o,除了消費性貸款、創業貸款、私人借貸，請問經濟戶長有沒有其他貸款？ □(1)有，請說明______________ □(2)沒有跳答E部分,numeric,110
e1,"請問經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林漁 業或自己做生意、經營公司等」的收入是多少？【110年平均每個月的金額】 □(1)未滿10,000元 □(2)10,000 元-未滿15,000元 □(3)15,000 元-未滿20,000元 □(4)20,000 元-未滿25,000元 □(5)25,000 元-未滿30,000元 □(6)30,000 元-未滿",character,110
e1o,e1o,numeric,110
e2,e2,character,110
e2o,e2o,numeric,110
e3,"請問經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋省 下的房租、國外禮金/贈款」收入總共是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(",character,110
e3o,e3o,numeric,110
e4,"請問經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多 少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元 □(",character,110
e4o,e4o,numeric,110
e5,"請問經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少？【110年平均每個月的金 額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 □(8)40,0",character,110
e5o,e5o,numeric,110
e6,"除了以上這些收入以外，請問經濟戶長個人每個月「其他雜項」收入總共是多少？【110年平均 每個月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 □(8",character,110
f1_a,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,character,110
f1_b,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,character,110
f1_c,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,character,110
f1_d,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,character,110
f1o,f1o,character,110
f1_1,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,character,110
f1_1o,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,numeric,110
f2,"請問經濟戶長每個月可以儲蓄（存錢）的金額是多少？ □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000 元-未滿15,000元 □(4)15,000 元-未滿20,000元 □(5)20,000 元-未滿30,000元 □(6)30,000元-未滿40,000元 □(7)40,000元-未滿50,000元 □(8)50,000元-未滿60,000元 □(9)6",character,110
f2o,f2o,numeric,110
f3_1,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,110
f3_2,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,110
f3_3,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,110
f3_4,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,110
f3_5,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,110
f3_6,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,110
f3o,f3o,character,110
g1_1,除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入？ □(1)有，共______________位 □(2)沒有跳答G3,numeric,110
g1,除了經濟戶長本人以外，家裡有沒有「其他家人」有固定收入？ □(1)有，共______________位 □(2)沒有跳答G3,character,110
g2,承上題(L1)，請問這些有固定收入的家人中，具有原住民身分者有幾位？ □(1)有具原住民身分，共______________位 □(2)沒有原住民身分,character,110
g2_1,承上題(L1)，請問這些有固定收入的家人中，具有原住民身分者有幾位？ □(1)有具原住民身分，共______________位 □(2)沒有原住民身分,numeric,110
g3,"包含經濟戶長本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧 業或自己做生意等」總收入是多少？【110年平均每個月的金額】 □(1)未滿10,000元 □(2)10,000元-未滿20,000元 □(3)20,000元-未滿30,000元 □(4)30,000元-未滿40,000元 □(5)40,000元-未滿50,000元 □(6)50,000元-未滿60,000元 □(",character,110
g3o,g3o,numeric,110
g4,"包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入 是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元",character,110
g4o,g4o,numeric,110
g5,"包含經濟戶長本人，全家每個月接受「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人 借住房屋省下的房租、國外禮金/贈款」總收入是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000",character,110
g5o,g5o,numeric,110
g6,"包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總收入是 多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元 ",character,110
g6o,g6o,numeric,110
g7,"包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少？【110年平均每個 月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 □(8)4",character,110
g7o,g7o,numeric,110
g8,"包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少？【110 年平均每個月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 ",character,110
g9,請問家中有沒有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人？ □(1)有 □(2)沒有跳答H部分,character,110
g10,請問有幾位？________位,numeric,110
g11,這幾位家人平均每個月提供的總金額大約多少錢？_______________元 H 部分：家庭支出 接下來請問您家庭支出的情況。因為有些家庭的支出可能是ㄧ年有幾次，並不是 每個月或經常性會有的支出（像是繳所得稅），也請包含在您的家庭支出,numeric,110
h1,"請問您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少？ 【110年平均每個月的金額】 □(1)未滿3,000元 □(2)3,000 元-未滿5,000元 □(3)5,000 元-未滿7,000元 □(4)7,000 元-未滿10,000元 □(5)10,000 元-未滿12,000元 □(6)12,000 元-未滿15,000元 □(7)15,000 元-未滿20,",character,110
h1o,h1o,numeric,110
h2,"請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？ 【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿1,500元 □(3)1,500 元-未滿2,000元 □(4)2,000 元-未滿2,500元 □(5)2,500 元-未滿3,000元 □(6)3,000 元-未滿5,000元 □(7)5,000 元-未滿10,000元 □(8)",character,110
h2o,h2o,numeric,110
h3,"請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機車保 險、買手機/市內電話(含電信費)、買車等」的費用是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿7,0",character,110
h3o,h3o,numeric,110
h4,"請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多 少？【110年平均每個月的金額】 □(1)未滿500元 □(2)500元-未滿1,000 元 □(3)1,000 元-未滿2,000元 □(4)2,000 元-未滿3,000元 □(5)3,000 元-未滿4,000元 □(6)4,000 元-未滿5,000元 □(7)5,000 元-未滿7,000元 □(8)7,",character,110
h4o,h4o,numeric,110
