variable,label,type,source
w,推估權數,numeric,99
w1,擴大係數,numeric,99
id,流水編,numeric,99
no,樣本戶號,numeric,99
date,訪問日期(如3月15日key成315),numeric,99
start,開始時間(如2:5key成 0205),numeric,99
end,結束時間(如2:10key成 0210),numeric,99
countya,鄉鎮市區,haven_labelled,99
county,縣市代碼,haven_labelled,99
level,層別,haven_labelled,99
type,樣本編號,haven_labelled,99
sex,性別,haven_labelled,99
number,戶內人口編號,numeric,99
f1,F1.請問您們家是不是符合地方政府列冊登記有案的低收入戶？,haven_labelled,99
f2,F2.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,numeric,99
f2_1,F2_1.其中原住民有幾位？(F2-1-1~F2-1-5的總合),numeric,99
f2_1_1,F2_1_1.6歲以下的原住民有幾位？,numeric,99
f2_1_2,F2_1_2.7-15歲的原住民有幾位？,numeric,99
f2_1_3,F2_1_3.16-54歲的原住民有幾位？,numeric,99
f2_1_4,F2-1-4. 55-64歲的原住民有幾位,numeric,99
f2_1_5,F2-1-5. 65歲以上的原住民有幾位？,numeric,99
f3,F3.請問您的配偶屬於以下那種身分？,haven_labelled,99
f3_1r,F3-1.請問您的先生/太太所屬的族別？,haven_labelled,99
f3_1,F3-1.請問您的先生/太太所屬的族別？,haven_labelled,99
f4,F4.請問您的先生/太太有沒有在工作？,haven_labelled,99
f4_1,F4-1.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？,haven_labelled,99
f4_1r,F4-1.為了改善您的經濟狀況，請問您希不希望您的配偶也外出工作？,haven_labelled,99
f4_2_1,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
f4_2_2,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
f4_2_3,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
f4_2_4,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
f4_2_5,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
f4_2_6,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
f4_2_7,F4-2.請問您為什麼不希望您的配偶外出工作？(可複選),haven_labelled,99
g1,G1.請問您現在住的房子是屬於誰的？,haven_labelled,99
g2,G2.若房子為租賃者（G1回答2、3者），請問您每個月的房屋租金是多少？,haven_labelled,99
g3,G3.請問您們家目前有沒有房屋貸款？,haven_labelled,99
g3_1,G3-1.請問您家中目前的房屋貸款總共借（貸）了多少錢？,haven_labelled,99
