variable,label,type,source
k3_2,k3_2,character,110
k3o,k3o,character,110
l1_1,l1_1,character,110
l1_2,l1_2,character,110
l1_3,l1_3,character,110
l1_4,l1_4,character,110
l1_1m,l1_1m,character,110
l1_2m,l1_2m,numeric,110
l2,l2,character,110
l2_1,l2_1,character,110
l2_2,l2_2,character,110
l3_1,l3_1,character,110
l3_2,l3_2,character,110
l33,l33,character,110
l35,l35,character,110
weight,weight,numeric,110
