sample_definition,Survey Year,Variable,Present,Eligible N,Valid N,Response Missing N,Response Missing %,Structural Missing N,Structural Missing %,Structural Missing,structural_missing_status,coverage_basis
full_sample,2002,EXP_ALCOHOL_EXPENDITURE,1,13113,13004,109,0.00831236177838786,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,1,13113,6442,6671,0.5087317928772973,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_FOOD_EXPENDITURE,1,13113,12915,198,0.015099519560741249,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_MEDICAL_EXPENDITURE,1,13113,12874,239,0.01822618775261191,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,1,13113,6265,6848,0.5222298482422024,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_TOTAL_DERIVED_EXPENDITURE,1,13113,13104,9,6.863417982155113e-4,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_TOTAL_REPORTED_EXPENDITURE,1,13113,13097,16,0.0012201631968275757,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_TRANSPORT_COMM_EXPENDITURE,1,13113,12984,129,0.00983756577442233,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,EXP_TRAVEL_EXPENDITURE,1,13113,6472,6641,0.5064439868832457,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,INC_FAM_GOV_INCOME,1,13113,13113,0,0,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,INC_FAM_OTHER_INCOME,1,13113,13113,0,0,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,1,13113,13113,0,0,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
full_sample,2002,INC_FAM_TOTAL_DERIVED_INCOME,1,13113,13113,0,0,NA,NA,NA,not_evaluated_in_recoded_coverage,recoded_midpoint
