sample_definition,survey_year,variable,valid_n,missing_n,missing_pct,mean,median,sd,min,max
full_sample,2010,EXP_CLOTHING_EXPENDITURE,5024,3,5.967774020290431e-4,0,0,0,0,0
full_sample,2010,EXP_EDU_BOOKS_COMBINED_EXPENDITURE,5024,3,5.967774020290431e-4,0,0,0,0,0
full_sample,2010,EXP_FOOD_EXPENDITURE,5023,4,7.957032027053909e-4,9268.56231335855,7499.5,8063.20378839782,1499.5,74999.5
full_sample,2010,EXP_FURNITURE_EXPENDITURE,5019,8,0.0015914064054107818,0,0,0,0,0
full_sample,2010,EXP_HOUSING_UTIL_EXPENDITURE,5025,2,3.9785160135269546e-4,4598.216517412935,2499.5,6469.629519540457,0,74999.5
full_sample,2010,EXP_LOAN_INTEREST_EXPENDITURE,5019,8,0.0015914064054107818,0,0,0,0,0
full_sample,2010,EXP_MEDICAL_EXPENDITURE,5019,8,0.0015914064054107818,2744.216577007372,1499.5,4564.345959508227,0,34999.5
full_sample,2010,EXP_OTHER_EXPENDITURE,5022,5,9.946290033817386e-4,0,0,0,0,0
full_sample,2010,EXP_TAX_INS_GIFT_EXPENDITURE,5019,8,0.0015914064054107818,3045.8565451285117,2499.5,3663.9280823685026,0,34999.5
full_sample,2010,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,4973,54,0.010741993236522777,24741.69656143173,19998,19241.548037963235,1499.5,279997
full_sample,2010,EXP_TOTAL_DERIVED_EXPENDITURE,5027,0,0,24798.75353093296,19998,19529.766862567827,0,279997
full_sample,2010,EXP_TRANSPORT_COMM_EXPENDITURE,5025,2,3.9785160135269546e-4,3695.93223880597,2499.5,3815.174176293563,0,34999.5
full_sample,2010,EXP_TRAVEL_EXPENDITURE,5026,1,1.9892580067634773e-4,0,0,0,0,0
full_sample,2010,INC_FAM_GOV_INCOME,5027,0,0,1788.9821961408395,0,3610.7019035504077,0,34999.5
full_sample,2010,INC_FAM_INTEREST_INCOME,5017,10,0.001989258006763477,213.06119194737892,0,1803.7255417018118,0,34999.5
full_sample,2010,INC_FAM_RENT_INCOME,5016,11,0.002188183807439825,84.72428229665071,0,1138.5626260667682,0,27499.5
full_sample,2010,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,5012,15,0.002983887010145216,35771.53272146847,28499,27927.560776816023,0,200998.5
full_sample,2010,INC_FAM_TOTAL_DERIVED_INCOME,5027,0,0,35766.841655062664,28499,27913.5474063081,0,200998.5
full_sample,2010,INC_FAM_WORK_INCOME,5027,0,0,33680.68321066242,24999.5,27957.15801452567,0,174999.5
full_sample,2010,INC_PERS_GOV_INCOME,5024,3,5.967774020290431e-4,1363.8235469745223,0,3093.222254760413,0,34999.5
full_sample,2010,INC_PERS_INTEREST_INCOME,5018,9,0.0017903322060871295,206.74212833798327,0,1897.5783500664827,0,34999.5
full_sample,2010,INC_PERS_OTHER_INCOME,5014,13,0.0025860354087925202,464.6788990825688,0,3789.875819063641,0,84999.5
full_sample,2010,INC_PERS_RENT_INCOME,5013,14,0.0027849612094688683,57.346997805705165,0,796.1620285392996,0,22499.5
full_sample,2010,INC_PERS_WORK_INCOME,5027,0,0,20315.913069425103,14999.5,18348.672175125725,0,174999.5
full_sample,2014,EXP_ALCOHOL_EXPENDITURE,5214,0,0,1748.6613924050632,749.5,2539.817689599192,0,34999.5
full_sample,2014,EXP_BOOKS_EXPENDITURE,5214,0,0,446.6891062523974,0,1046.4756400462884,0,24999.5
full_sample,2014,EXP_CARE_EXPENDITURE,5214,0,0,736.976026083621,0,2977.1963840062376,0,60000
full_sample,2014,EXP_CLEANING_EXPENDITURE,5214,0,0,187.81770233985424,0,1398.7569642632773,0,24999.5
full_sample,2014,EXP_CLOTHING_EXPENDITURE,5214,0,0,1639.9707518220177,1499.5,2596.927602702701,0,50000
full_sample,2014,EXP_DINING_LODGING_EXPENDITURE,5214,0,0,2889.8180859225163,1499.5,5457.770398377792,0,100000
full_sample,2014,EXP_EDU_TUITION_EXPENDITURE,5214,0,0,2105.0874568469503,0,4426.202312047896,0,80000
full_sample,2014,EXP_FOOD_EXPENDITURE,5214,0,0,9397.371595703875,8499.5,6826.1666264221185,0,74999.5
full_sample,2014,EXP_FURNITURE_EXPENDITURE,5214,0,0,934.1804756425009,0,3225.9019309063215,0,100000
full_sample,2014,EXP_HOUSING_UTIL_EXPENDITURE,5214,0,0,4903.080456463368,2749.5,6023.531201459058,0,74999.5
full_sample,2014,EXP_LOAN_INTEREST_EXPENDITURE,5214,0,0,2636.724779439969,0,6108.917232694345,0,30000
full_sample,2014,EXP_MEDICAL_EXPENDITURE,5214,0,0,1927.680667433832,749.5,3318.551917600846,0,34999.5
full_sample,2014,EXP_OTHER_EXPENDITURE,5214,0,0,1806.737725354814,1499.5,2481.4855224362095,0,50000
full_sample,2014,EXP_TAX_INS_GIFT_EXPENDITURE,5214,0,0,3441.3697736862296,2249.5,4328.184675815929,0,34999.5
full_sample,2014,EXP_TOTAL_DERIVED_COMPLETE_EXPENDITURE,5214,0,0,40511.07211354047,34995.5,27572.49563931852,749.5,412995
full_sample,2014,EXP_TOTAL_DERIVED_EXPENDITURE,5214,0,0,40511.07211354047,34995.5,27572.49563931852,749.5,412995
full_sample,2014,EXP_TRANSPORT_COMM_EXPENDITURE,5214,0,0,4755.640966628308,3499.5,4435.893693987304,0,34999.5
full_sample,2014,EXP_TRAVEL_EXPENDITURE,5214,0,0,953.2651515151515,0,3358.255378419413,0,75000
full_sample,2014,INC_FAM_GOV_INCOME,3345,1869,0.358457997698504,2964.964125560538,0,4755.848068927708,0,34999.5
full_sample,2014,INC_FAM_INTEREST_INCOME,3345,1869,0.358457997698504,338.65321375186846,0,1912.1121768980636,0,34999.5
full_sample,2014,INC_FAM_OTHER_INCOME,3345,1869,0.358457997698504,377.4118086696562,0,3686.809168987428,0,54999.5
full_sample,2014,INC_FAM_RENT_INCOME,3345,1869,0.358457997698504,506.7177877428999,0,5091.549226164432,0,84999.5
full_sample,2014,INC_FAM_TOTAL_DERIVED_COMPLETE_INCOME,3345,1869,0.358457997698504,67222.8134529148,64999.5,33559.19970895597,1499.5,294998.5
full_sample,2014,INC_FAM_TOTAL_DERIVED_INCOME,3345,1869,0.358457997698504,67222.8134529148,64999.5,33559.19970895597,1499.5,294998.5
